entry_time,exit_time,side,entry_price,exit_price,qty,bars_held,score_at_entry,pnl,return_pct,exit_reason
2025-11-07 19:00:00+00:00,2025-11-08 05:00:00+00:00,LONG,103432.65998399998,102165.79192799999,0.019073787198772292,10,-3.8000000000000003,-26.51689638116609,-0.013440891178494747,signal
2025-11-08 06:00:00+00:00,2025-11-09 13:00:00+00:00,SHORT,102097.2568,102724.47521001605,0.01924047158654067,31,4.5,-14.43249802549592,-0.0073470284386922095,stop
2025-11-09 14:00:00+00:00,2025-11-10 00:00:00+00:00,LONG,103107.48004799998,104476.25315850649,0.01905444798222918,10,4.9,23.707979965816005,0.012067241581341837,stop
2025-11-10 01:00:00+00:00,2025-11-10 14:00:00+00:00,LONG,105778.044792,105064.12166842453,0.01861824453548845,13,-4.0,-15.647301902399258,-0.007945206636257347,stop
2025-11-10 17:00:00+00:00,2025-11-11 06:00:00+00:00,LONG,106008.74920799998,104769.05414014334,0.01854818168466926,13,3.2,-25.33981634715137,-0.012887254684846557,stop
2025-11-11 12:00:00+00:00,2025-11-12 08:00:00+00:00,SHORT,104452.351216,104220.39467475939,0.01874598410020448,20,-3.2,2.0011880480663553,0.0010220248033038072,stop
2025-11-12 14:00:00+00:00,2025-11-12 15:00:00+00:00,SHORT,103897.585384,103973.5735458687,0.018849928276054372,1,-6.7,-3.7833852629470535,-0.0019318144544437363,stop
2025-11-12 16:00:00+00:00,2025-11-13 05:00:00+00:00,SHORT,101338.864,102854.51366588727,0.019318412340133276,13,-3.2,-31.646760328919896,-0.016165226526387706,stop
2025-11-13 13:00:00+00:00,2025-11-13 18:00:00+00:00,SHORT,102217.930184,98553.71123696711,0.019090404870612445,5,-5.9,67.65173608066885,0.03466863353426625,tp
2025-11-13 19:00:00+00:00,2025-11-13 23:00:00+00:00,SHORT,98551.05603200001,100378.4153100869,0.019937900965250995,4,-4.7,-38.81344997364199,-0.019753385090668502,stop
2025-11-14 00:00:00+00:00,2025-11-14 23:00:00+00:00,SHORT,98850.216512,94029.87555244756,0.019799093865480767,23,-4.1000000000000005,93.1470724932605,0.04759334951727348,tp
2025-11-15 00:00:00+00:00,2025-11-16 09:00:00+00:00,SHORT,94993.944,96635.24639999999,0.020798791408336913,33,3.9,-36.52849959092931,-0.018488335574739227,signal
2025-11-16 11:00:00+00:00,2025-11-17 00:00:00+00:00,SHORT,95493.034408,95093.17736636622,0.020613643530716808,13,-3.9000000000000004,5.885304780654041,0.0029898025163734,stop
2025-11-17 01:00:00+00:00,2025-11-17 14:00:00+00:00,SHORT,94628.9862,95608.3510320288,0.020814293477661214,13,-5.2,-22.760580496081676,-0.011555732321351047,stop
2025-11-17 15:00:00+00:00,2025-11-18 04:00:00+00:00,SHORT,93791.816472,89589.48592232709,0.02095158287547038,13,-4.4,85.74019964863722,0.04363175724886412,tp
2025-11-18 05:00:00+00:00,2025-11-18 12:00:00+00:00,SHORT,90034.804488,91734.13206318063,0.022016167510154297,7,-4.1000000000000005,-39.81379376295324,-0.02008544303944559,stop
2025-11-18 13:00:00+00:00,2025-11-18 15:00:00+00:00,SHORT,91312.031888,92931.67507180835,0.021621082216501025,2,4.5,-37.40856744014642,-0.018948098867260163,stop
2025-11-18 16:00:00+00:00,2025-11-18 19:00:00+00:00,LONG,93518.76520799998,93049.490808,0.021064634446000628,3,-3.7,-12.243088958188798,-0.006214959664157976,signal
2025-11-18 20:00:00+00:00,2025-11-19 15:00:00+00:00,SHORT,92674.77082399999,91946.76621372535,0.021196087611827813,19,-6.7,13.082896936746709,0.006660191145486622,stop
2025-11-19 16:00:00+00:00,2025-11-19 23:00:00+00:00,SHORT,89761.16357599999,90873.3764062165,0.021913230283049995,7,-3.2,-26.74714763531898,-0.013598236760515827,stop
2025-11-20 01:00:00+00:00,2025-11-20 12:00:00+00:00,LONG,92596.678128,91674.22190399999,0.021218396054405213,11,-3.8000000000000003,-21.919001266591728,-0.011156110401619663,signal
2025-11-20 13:00:00+00:00,2025-11-20 16:00:00+00:00,SHORT,91363.790448,87738.83925202092,0.0214223993457541,3,-5.9,75.35306729474772,0.03849982143813376,tp
